flux,wavelength,var
46.110466,4040.1484,0.17504445
41.57283,4041.0796,0.187047
41.567745,4042.0095,0.18242723
54.52633,4042.9417,0.14837158
44.30722,4043.8718,0.17234041
41.645443,4044.804,0.17726438
43.743317,4045.7346,0.17883219
43.985836,4046.6655,0.1779619
45.303543,4047.5986,0.176326
46.6523,4048.5298,0.17238566
43.69973,4049.4634,0.17409192
41.376198,4050.395,0.17461999
48.03341,4051.3286,0.16592255
47.94146,4052.2607,0.17144628
42.12362,4053.193,0.1909026
41.588276,4054.1274,0.19325142
44.18217,4055.0603,0.18782976
47.85309,4055.9956,0.17837368
45.5736,4056.9282,0.18780486
42.22513,4057.8638,0.19205254
43.95408,4058.7974,0.18728818
44.130924,4059.7314,0.1804378
40.953514,4060.6675,0.18397178
44.787994,4061.6016,0.17247872
44.279305,4062.538,0.1764159
45.305607,4063.4727,0.17615786
40.97723,4064.41,0.18801865
40.53498,4065.345,0.19412874
42.55031,4066.28,0.18653207
44.535385,4067.218,0.18305063
46.406693,4068.1533,0.17852949
47.795692,4069.0913,0.17194037
47.477783,4070.0278,0.16637966
45.286648,4070.966,0.1670517
42.65861,4071.9026,0.17380385
40.370804,4072.8396,0.18788043
40.03365,4073.7783,0.19537774
40.0841,4074.7158,0.19764413
47.043552,4075.6555,0.1819142
41.46134,4076.593,0.19157158
39.42758,4077.5332,0.19967055
41.422234,4078.4712,0.19640741
41.689457,4079.4094,0.1985296
42.418507,4080.3499,0.19598778
44.58722,4081.2886,0.19427606
44.821777,4082.2297,0.1895851
40.33114,4083.1687,0.19858201
44.17969,4084.1104,0.18716647
41.36275,4085.0503,0.1903761
43.271725,4085.992,0.18264568
42.22198,4086.9321,0.18671036
41.49997,4087.8723,0.18824054
40.873875,4088.8152,0.19236611
43.74478,4089.7554,0.1900912
44.487957,4090.6985,0.19261326
39.731575,4091.6396,0.20654182
41.136955,4092.5833,0.21072051
37.661118,4093.5247,0.22605091
37.512016,4094.4663,0.22345
35.04445,4095.4104,0.23091987
34.06447,4096.3525,0.23026347
34.353302,4097.297,0.2297587
32.208416,4098.2397,0.24345823
31.994015,4099.1846,0.24852617
32.863094,4100.128,0.23747534
41.115356,4101.0713,0.2082576
55.114708,4102.017,0.169017
57.519085,4102.961,0.16272688
48.10663,4103.9067,0.18892872
31.757383,4104.8506,0.24932145
30.437841,4105.7974,0.25814185
35.998478,4106.7417,0.23188327
35.32327,4107.6865,0.23469947
34.613728,4108.634,0.24110636
37.14288,4109.579,0.23760211
36.10433,4110.527,0.23810056
